title,description,type_collected_display,type_collected_code,type_collected_system,collection_display,collection_system,collection_code,patient_preparation_system,patient_preparation_code,patient_preparation_display,is_derived,single_use,preference,container_cap_display,container_cap_code,container_cap_system,container_minimumvolume,container_minimumvolume_unit_display,container_minimumvolume_unit_code,container_minimumvolume_unit_system,container_capacity_value,container_capacity_unit_display,container_capacity_unit_code,container_capacity_unit_system,retention_time_value,retention_time_unit_code,retention_time_unit_display,retention_time_unit_system,requirement,container_description,container_preparation,,,,,,,,,,,,,,,
Gram staining for clinical specimen,Ordered to identify bacteria in clinical samples and guide early diagnosis of infections.,"Source, Other",OTH,http://terminology.hl7.org/CodeSystem/v2-0487,Gram stain method,http://snomed.info/sct,62777006,,,,No,Yes,,,,http://terminology.hl7.org/CodeSystem/container-cap,,millilitre,mL,http://unitsofmeasure.org,-,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Fresh specimen; smear prepared on clean glass slides,Sterile swab or sterile container for specimen; slides transported in slide box,"Collect specimen aseptically, prepare smear on slide or send swab/fluid to lab immediately for staining and microscopy.",,,,,,,,,,,,,,,
Test for Leptospirosis,Ordered to detect antibodies against Leptospira species to help diagnose leptospirosis infection.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,72,h,hours,http://unitsofmeasure.org,Serum sample suitable for IgM ELISA or rapid immunochromatographic test,Serum separation tube (SST) or plain red-top tube; rapid test kit if used,"Collect blood, allow to clot, centrifuge, and send for IgM ELISA or perform rapid test as per kit instructions.",,,,,,,,,,,,,,,
Test for Chikungunya,"Ordered to detect antibodies against the Chikungunya virus to diagnose recent infection, especially in patients with fever and joint pain.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,72,h,hours,http://unitsofmeasure.org,Serum sample suitable for IgM ELISA or rapid immunochromatographic test,Serum separation tube (SST) or plain red-top tube; rapid test kit if used,"Collect blood, allow to clot, centrifuge, and send for IgM ELISA or perform rapid test as per kit instructions.",,,,,,,,,,,,,,,
IgM for Measles,Ordered to detect IgM antibodies against the measles virus to confirm recent or acute measles infection.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,72,h,hours,http://unitsofmeasure.org,Serum sample suitable for IgM ELISA,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot, centrifuge, and send for IgM ELISA testing.",,,,,,,,,,,,,,,
"Fluid analysis -biochemistry including Glucose, Protein, LDH","Used to evaluate body cavity fluids for infection, inflammation, malignancy, or metabolic abnormalities.","Fluid, Other",FLD,http://terminology.hl7.org/CodeSystem/v2-0487,Aspiration,http://snomed.info/sct,14766002,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,"Tube  (Plain): Biochemistry (Glucose, Protein, LDH)
",Sterile fluid collection containers; EDTA tube for cell count; plain tube for chemistry; cytology vial/slide for cytology.,Mix EDTA tube gently; send all samples promptly for accurate cell and cytology evaluation.,,,,,,,,,,,,,,,
Other cultures -swab,Used to detect and identify bacteria or fungi from infected sites to guide appropriate antimicrobial treatment.,"Source, Other",OTH,http://terminology.hl7.org/CodeSystem/v2-0487,Taking of swab,http://snomed.info/sct,285570007,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,Adequate to moisten swab,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect adequate sample; avoid contamination; use appropriate transport medium depending on site.,"Sterile swab in transport medium

Sterile container or syringe for pus aspirate",Collect sample before starting antibiotics; transport quickly to lab; indicate site of collection clearly.,,,,,,,,,,,,,,,
Culture of stool specimen for Vibrio cholerae and other common bacterial enteropathogens,Used to detect Vibrio cholerae and other common bacteria causing diarrheal illnesses to guide appropriate treatment and public health measures.,Stool = Fecal,STL,http://terminology.hl7.org/CodeSystem/v2-0487,Collection of stool specimen,http://snomed.info/sct,225105004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,Adequate to moisten swab,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect adequate stool; avoid contamination with urine or water; transport in Cary-Blair medium if delay expected.,Sterile wide-mouth stool container; rectal swabs with transport medium for V. cholerae,"Collect fresh stool; tightly cap container; send promptly to lab for culture on selective media (e.g., TCBS agar for V. cholerae).",,,,,,,,,,,,,,,
Organism identification and antimicrobial sensitivity for cultures- swab,Used to identify microorganisms grown from clinical cultures and determine their susceptibility to antibiotics to guide targeted treatment.,"Source, Other",OTH,http://terminology.hl7.org/CodeSystem/v2-0487,Taking of swab,http://snomed.info/sct,285570007,,,,Yes,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Primary culture must yield growth; isolated colonies used for biochemical or automated identification and susceptibility panels.,"Culture plates, broth media, or automated system cartridges depending on method (e.g., VITEK, Phoenix)","Pure colony selection is used for identification and susceptibility testing via biochemical, manual, or automated methods.",,,,,,,,,,,,,,,
Nucleic Acid Amplification Test (NAAT) for TB,"Used to rapidly detect Mycobacterium tuberculosis DNA and identify rifampicin resistance, aiding early diagnosis and treatment decisions.",Sputum,SPT,http://terminology.hl7.org/CodeSystem/v2-0487,Collection of sputum,http://snomed.info/sct,37705003,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,1,millilitre,mL,http://unitsofmeasure.org,50,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,"Collect adequate sample; avoid contamination; send promptly for NAAT processing (e.g., GeneXpert/CBNAAT)","Sterile, leak-proof container suitable for molecular testing",Collect aseptically; close tightly; send immediately to lab; avoid using fixatives (they inhibit nucleic acid tests),,,,,,,,,,,,,,,
Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC) (Venipuncture),"Used to detect HIV-1 infection in infants below 18 months by identifying proviral DNA, as maternal antibodies can interfere with antibody tests.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect adequate blood spots on DBS card; allow to air-dry; avoid contamination and moisture; store in zip-lock bag with desiccant.,"DBS filter paper card; if whole blood is used, EDTA tube",Collect blood aseptically; fill DBS circles completely; air-dry horizontally; package with desiccant and send to designated HIV reference lab.,,,,,,,,,,,,,,,
Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC) (Heel Prick Test),"Used to detect HIV-1 infection in infants below 18 months by identifying proviral DNA, as maternal antibodies can interfere with antibody tests.",Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Heel stick,http://snomed.info/sct,77262006,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect adequate blood spots on DBS card; allow to air-dry; avoid contamination and moisture; store in zip-lock bag with desiccant.,"DBS filter paper card; if whole blood is used, EDTA tube",Collect blood aseptically; fill DBS circles completely; air-dry horizontally; package with desiccant and send to designated HIV reference lab.,,,,,,,,,,,,,,,
Early Infant Diagnostic test for HIV - Qualitative HIV-1 DNA PCR (ICTC)(Dried blood spot specimen),"Used to detect HIV-1 infection in infants below 18 months by identifying proviral DNA, as maternal antibodies can interfere with antibody tests.",Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Collection of dried blood spot specimen,http://snomed.info/sct,738796001,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,14,h,hours,http://unitsofmeasure.org,Collect adequate blood spots on DBS card; allow to air-dry; avoid contamination and moisture; store in zip-lock bag with desiccant.,"DBS filter paper card; if whole blood is used, EDTA tube",Collect blood aseptically; fill DBS circles completely; air-dry horizontally; package with desiccant and send to designated HIV reference lab.,,,,,,,,,,,,,,,
Erythrocyte sedimentation rate,"Measures the rate at which red blood cells settle in a vertical tube over one hour. Used as a non-specific marker to detect inflammation, infection, autoimmune conditions, and to monitor disease activity.",Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,2,h,hours,http://unitsofmeasure.org,"Collect blood in an EDTA tube, then transfer to a Westergren ESR tube if required by laboratory procedure.","Avoid haemolysis or underfilling the tube, as these can affect sedimentation rate. Ensure tube remains vertical during testing.",Invert tube 8–10 times to mix. Start ESR test promptly after collection for best results.,,,,,,,,,,,,,,,
S. Lipase,Quantitative measurement of lipase enzyme activity in serum. Used in the diagnosis and monitoring of acute pancreatitis.,Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,,,http://terminology.hl7.org/CodeSystem/container-cap,1,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,7,h,hours,http://unitsofmeasure.org,Collect adequate sample; avoid hemolysis in serum sample.,Serum separator tube (SST) or red-top tube for blood; sterile container for serum.,Allow serum to clot at room temperature; centrifuge and separate serum within 2 hours of collection; refrigerate.,,,,,,,,,,,,,,,
Blood Urea Nitrogen (BUN),"Measures the concentration of urea nitrogen in blood. Used to assess renal function, hydration status, and protein metabolism.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,,,http://terminology.hl7.org/CodeSystem/container-cap,0.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,7,h,hours,http://unitsofmeasure.org,Collect adequate sample; avoid hemolysis; separate serum/plasma within 2 hours.,Serum separator tube (SST) or plasma separator tube (PST) for blood.,Allow serum to clot at room temperature; centrifuge and separate serum/plasma ASAP or within 2 hours; refrigerate.,,,,,,,,,,,,,,,
Urine Sugar (Test strip),Semi-quantitative detection of glucose in urine using reagent strips. Commonly used for rapid screening of diabetes mellitus.,"Urine, Midstream",URINM,http://terminology.hl7.org/CodeSystem/v2-0487,Urine specimen collection,http://snomed.info/sct,57617002,,,,No,Yes,,,,http://terminology.hl7.org/CodeSystem/container-cap,5,millilitre,mL,http://unitsofmeasure.org,60,millilitre,mL,http://unitsofmeasure.org,NA,h,hours,http://unitsofmeasure.org,Collect fresh urine sample; test immediately for accurate results.,Sterile urine container.,Dip test strip in fresh urine and read results according to manufacturer instructions; immediate testing preferred.,,,,,,,,,,,,,,,
Absolute neutrophil count,Calculated measurement of circulating neutrophils in blood. Used to assess infection risk and bone marrow function.,Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,Yes,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,1,millilitre,mL,http://unitsofmeasure.org,3,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect adequate blood sample; mix gently by inversion; avoid clotting.,EDTA lavender-top tube for blood.,Mix sample gently by inversion 8-10 times immediately after collection; do not refrigerate; analyze within 4-6 hours.,,,,,,,,,,,,,,,
RDW,Measures variation in red blood cell size. Used in classification and evaluation of anemia.,Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,Yes,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,1,millilitre,mL,http://unitsofmeasure.org,3,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Collect adequate blood sample; mix gently by inversion; avoid clotting.,EDTA lavender-top tube for blood.,Mix sample gently by inversion 8-10 times immediately after collection; analyze within 6-8 hours for best results.,,,,,,,,,,,,,,,
PDW,Reflects variability in platelet size. Used to assess platelet activation and disorders.,Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,Yes,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,1,millilitre,mL,http://unitsofmeasure.org,3,millilitre,mL,http://unitsofmeasure.org,4,h,hours,http://unitsofmeasure.org,Collect adequate blood sample; mix gently by inversion; avoid clotting and platelet clumping.,EDTA lavender-top tube for blood.,Mix sample gently by inversion 8-10 times immediately after collection; analyze within 4 hours for accurate platelet parameters.,,,,,,,,,,,,,,,
MPV,Measures average platelet size in blood. Used to evaluate platelet production and function.,Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,Yes,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,1,millilitre,mL,http://unitsofmeasure.org,3,millilitre,mL,http://unitsofmeasure.org,4,h,hours,http://unitsofmeasure.org,Collect adequate blood sample; mix gently by inversion; avoid clotting and platelet clumping.,EDTA lavender-top tube for blood.,Mix sample gently by inversion 8-10 times immediately after collection; analyze within 4 hours for accurate MPV results.,,,,,,,,,,,,,,,
Platelet count and morphology.,Quantitative platelet count with microscopic assessment of platelet size and shape. Used in bleeding disorders and thrombocytopenia evaluation.,Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,1,millilitre,mL,http://unitsofmeasure.org,3,millilitre,mL,http://unitsofmeasure.org,4,h,hours,http://unitsofmeasure.org,Mix gently; analyze within 4 hours; do not refrigerate.,EDTA lavender-top tube (K2EDTA).,"Examine smear for platelet clumps, giant platelets, satellitism.",,,,,,,,,,,,,,,
MCH,Measures the average hemoglobin content per red blood cell. Used in anemia classification.,Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,Yes,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,1,millilitre,mL,http://unitsofmeasure.org,3,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Mix gently; avoid hemolysis; calculated from Hb and RBC count.,EDTA lavender-top tube (K2EDTA).,MCH = Hemoglobin (g/dL) / RBC count (millions/μL) × 10.,,,,,,,,,,,,,,,
MCV,"Measures the average volume of red blood cells. Used to differentiate microcytic, normocytic, and macrocytic anemia.",Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,Yes,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,1,millilitre,mL,http://unitsofmeasure.org,3,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Mix gently; MCV increases with prolonged storage; analyze within 6 hours for accuracy.,EDTA lavender-top tube (K2EDTA).,MCV = Hematocrit (%) / RBC count (millions/μL) × 10.,,,,,,,,,,,,,,,
MCHC,Measures the average concentration of hemoglobin within red blood cells. Used to classify anemia and assess red cell hemoglobinization.,Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,Yes,Yes,,Lavender (EDTA),lavender,http://terminology.hl7.org/CodeSystem/container-cap,1,millilitre,mL,http://unitsofmeasure.org,3,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Mix gently; avoid hemolysis; calculated from Hb and Hct.,EDTA lavender-top tube (K2EDTA).,MCHC = Hemoglobin (g/dL) / Hematocrit (%) × 100.,,,,,,,,,,,,,,,
"Coagulation Profile (PT ,INR, aPTT)","Includes tests such as PT, INR, and aPTT to evaluate blood clotting pathways. Used in bleeding disorders and anticoagulant monitoring.",Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Light Blue (Citrate),light-blue,http://terminology.hl7.org/CodeSystem/container-cap,1.8,millilitre,mL,http://unitsofmeasure.org,2.7,millilitre,mL,http://unitsofmeasure.org,4,h,hours,http://unitsofmeasure.org,Correct 9:1 blood to citrate ratio; centrifuge within 1 hour; test within 4 hours per NABL.,3.2% sodium citrate tube (light blue top).,Centrifuge at 1500g for 15 minutes; separate platelet-poor plasma; test within 4 hours or freeze at -20°C.,,,,,,,,,,,,,,,
Routine Hematoxylin and Eosin (H&E) staining,Standard histopathological staining technique used to evaluate tissue architecture and cellular morphology. Forms the primary basis for histopathological diagnosis.,Tissue,TISS,http://terminology.hl7.org/CodeSystem/v2-0487,Biopsy,http://snomed.info/sct,86273004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,Appropriate,millilitre,mL,http://unitsofmeasure.org,Indefinite,h,hours,http://unitsofmeasure.org,Fix in 10% neutral buffered formalin immediately; 10:1 fixative to tissue ratio.,Container with 10% neutral buffered formalin.,Fix for 6-48 hours depending on size; process; embed; section at 4-5 microns; stain H&E.,,,,,,,,,,,,,,,
FNAC - Routine MGG,"Fine Needle Aspiration Cytology specimen stained with May–Grünwald–Giemsa for evaluation of cellular morphology. Used in the assessment of masses, lymph nodes, and other lesions.",Aspirate,ASP,http://terminology.hl7.org/CodeSystem/v2-0487,Fine needle biopsy,http://snomed.info/sct,48635004,,,,No,Yes,, ,,http://terminology.hl7.org/CodeSystem/container-cap,2-4,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Prepare smears immediately at site; air dry for MGG; fix in alcohol for Pap.,Glass slides; needle aspirate.,Air dry smears; stain with May-Grünwald-Giemsa; examine under microscopy.,,,,,,,,,,,,,,,
FNAC - Special stain when necessary,Application of additional cytochemical or microbiological stains on FNAC smears when clinically indicated. Used to aid diagnosis when routine staining is inconclusive.,Aspirate,"
ASP",http://terminology.hl7.org/CodeSystem/v2-0487,Fine needle biopsy,http://snomed.info/sct,48635004,,,,No,Yes,, ,,http://terminology.hl7.org/CodeSystem/container-cap,2-4,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Prepare additional smears for special stains; specify stain required.,Glass slides.,"Perform ZN stain for AFB, PAS, mucicarmine, or other stains as indicated.",,,,,,,,,,,,,,,
FNAC – USG guided,Ultrasound-guided FNAC for precise sampling of lesions not easily accessible clinically.,Aspirate,ASP,http://terminology.hl7.org/CodeSystem/v2-0487,Fine needle biopsy,http://snomed.info/sct,48635004,,,,No,Yes,, ,,http://terminology.hl7.org/CodeSystem/container-cap,2-4,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,24,h,hours,http://unitsofmeasure.org,Coordinate with radiology; ensure real-time visualization; prepare smears immediately.,Glass slides; sterile needle aspirate.,Prepare smears immediately; air dry for MGG; alcohol fix for Pap.,,,,,,,,,,,,,,,
Bronchioalveolar lavage fluid for cytology,"Cytological evaluation of lavage fluid to assess infections, malignancy, or interstitial lung disease.","Lavage, Bronhial",LAVG,http://terminology.hl7.org/CodeSystem/v2-0487,Bronchoalveolar lavage,http://snomed.info/sct,397394009,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,10,millilitre,mL,http://unitsofmeasure.org,50,millilitre,mL,http://unitsofmeasure.org,2,h,hours,http://unitsofmeasure.org,Collect in sterile container; process promptly; aliquot for different tests.,Sterile container.,"Cytocentrifuge; prepare smears; stain with Pap, MGG, and special stains as needed.",,,,,,,,,,,,,,,
Widal test,Serological agglutination test detecting antibodies against Salmonella Typhi and Paratyphi antigens. Used in the supportive diagnosis of enteric fever.,Serum,SER,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,1,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,7,h,hours,http://unitsofmeasure.org,Separate serum; test for O and H antigens; interpret with clinical correlation.,Serum separator tube (SST).,Perform slide/tube agglutination with O and H antigens; report titers.,,,,,,,,,,,,,,,
Dengue NS1,Detects dengue virus NS1 antigen in serum during early acute infection. Useful in early diagnosis of dengue fever.,Serum,SER,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,1,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,7,h,hours,http://unitsofmeasure.org,Collect during first 5 days of fever; separate serum.,Serum separator tube (SST).,Perform ELISA or rapid immunochromatographic test for NS1 antigen.,,,,,,,,,,,,,,,
Dengue IgM Antibody,Detects IgM antibodies against dengue virus indicating recent infection.,Serum,SER,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,1,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,7,h,hours,http://unitsofmeasure.org,Collect after day 5 of fever; separate serum.,Serum separator tube (SST).,Perform ELISA for IgM antibodies; interpret with clinical history.,,,,,,,,,,,,,,,
Dengue IgG Antibody,Detects IgG antibodies against dengue virus indicating past exposure or secondary infection.,Serum,SER,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,1,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,7,h,hours,http://unitsofmeasure.org,Separate serum; useful for secondary infection diagnosis.,Serum separator tube (SST).,Perform ELISA for IgG antibodies; high IgG in acute phase suggests secondary infection.,,,,,,,,,,,,,,,
HBsAg (Quantitative),Measures concentration of Hepatitis B surface antigen in serum. Used for disease monitoring and treatment response.,Serum,SER,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,1,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,7,h,hours,http://unitsofmeasure.org,Separate serum; quantitative result for monitoring.,Serum separator tube (SST).,Perform quantitative immunoassay; report in IU/mL.,,,,,,,,,,,,,,,
Rapid malaria test for PF,Detects P. falciparum–specific antigens in blood. Used for rapid malaria diagnosis.,Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Purple (EDTA),light-blue,http://terminology.hl7.org/CodeSystem/container-cap,5,millilitre,mL,http://unitsofmeasure.org,3,millilitre,mL,http://unitsofmeasure.org,Immediate,h,hours,http://unitsofmeasure.org,Use fresh whole blood; perform test immediately.,EDTA tube or capillary blood.,Apply blood to rapid test cassette; read within specified time per kit instructions.,,,,,,,,,,,,,,,
Rapid malaria test for PV,Detects P. vivax–specific antigens in blood. Used for rapid malaria diagnosis.,Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,No,Yes,,Purple (EDTA),light-blue,http://terminology.hl7.org/CodeSystem/container-cap,5,millilitre,mL,http://unitsofmeasure.org,3,millilitre,mL,http://unitsofmeasure.org,Immediate,h,hours,http://unitsofmeasure.org,Use fresh whole blood; perform test immediately.,EDTA tube or capillary blood.,Apply blood to rapid test cassette; read within specified time per kit instructions.,,,,,,,,,,,,,,,
ZN Stain for Extra pulmonary sample,Ziehl–Neelsen staining to detect acid-fast bacilli in non-sputum specimens. Used in extra-pulmonary tuberculosis diagnosis.,Invalid,TISS/FLD/ASP,http://terminology.hl7.org/CodeSystem/v2-0487,Specimen obtained by aspiration,http://snomed.info/sct,119295008,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2,millilitre,mL,http://unitsofmeasure.org,Variable,millilitre,mL,,24,h,hours,http://unitsofmeasure.org,Collect adequate specimen; process for concentration before staining.,Sterile container.,Concentrate specimen; prepare smear; perform ZN staining; examine for AFB.,,,,,,,,,,,,,,,
Stool R/E and parasites,"Routine microscopic examination of stool for ova, cysts, and parasites. Used in evaluation of intestinal parasitic infections.",Stool = Fecal,STL,http://terminology.hl7.org/CodeSystem/v2-0487,Specimen collection,http://snomed.info/sct,17636008,,,,No,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,Walnut-sized,millilitre,mL,http://unitsofmeasure.org,30,millilitre,mL,http://unitsofmeasure.org,30,h,hours,http://unitsofmeasure.org,Collect fresh stool; examine within 30 minutes for trophozoites; preserve for delayed examination.,Sterile stool container or SAF/PVA preservative.,Direct wet mount in saline and iodine; concentration techniques; permanent stain if indicated.,,,,,,,,,,,,,,,preserved
Sickling Test for Sickle cell anemia*,"A screening test that detects the presence of sickle hemoglobin by inducing red blood cell sickling under low-oxygen conditions, used for early identification of sickle cell anemia.",Whole blood,BLD,http://terminology.hl7.org/CodeSystem/v2-0487,Finger stick,http://snomed.info/sct,278450005,,,,No,Yes,, , ,http://terminology.hl7.org/CodeSystem/container-cap,NA,millilitre,mL,http://unitsofmeasure.org,NA,millilitre,mL,http://unitsofmeasure.org,NA,h,hours,http://unitsofmeasure.org,Capillary blood (finger-prick) and a rapid test kit for point-of-care screening.,"Detects sickle hemoglobin by inducing red blood cell sickling, used for preliminary identification of sickle cell disease or trait.",Point of care test for screening of Sickle cell anaemia,,,,,,,,,,,,,,,
S. Total Iron binding capacity,"Measures the blood’s capacity to bind iron with transferrin, helping assess iron deficiency and iron metabolism disorders.",Blood venous,BLDV,http://terminology.hl7.org/CodeSystem/v2-0487,Venipuncture for blood test,http://snomed.info/sct,28520004,,,,Yes,Yes,,Red,red,http://terminology.hl7.org/CodeSystem/container-cap,2.5,millilitre,mL,http://unitsofmeasure.org,5,millilitre,mL,http://unitsofmeasure.org,48,h,hours,http://unitsofmeasure.org,Serum or plasma suitable for liver enzyme analysis,Serum separation tube (SST) or plain red-top tube,"Collect blood, allow to clot if serum, centrifuge promptly, and process as per lab protocol.",,,,,,,,,,,,,,,
